design,r_adapt_1K,r_adapt_5K,r_adapt_10K,r_adapt_20K,r_adapt_30K,max_delta_pct
JPEG_NG45,2.271,2.28,2.28,2.28,2.28,0.39
SweRV_NG45,2.936,2.929,2.926,2.926,2.926,0.34
Ariane_NG45,3.821,3.833,3.84,3.84,3.84,0.49
CA53_NG45,4.474,4.491,4.495,4.496,4.496,0.48
BP_Quad_NG45,9.125,9.122,9.119,9.118,9.118,0.07
JPEG_GF12,1.355,1.357,1.356,1.356,1.356,0.07
SweRV_GF12,1.795,1.788,1.788,1.788,1.788,0.39
Ariane_GF12,1.767,1.766,1.764,1.764,1.764,0.17
CA53_GF12,2.713,2.717,2.718,2.718,2.718,0.18
BP_Quad_GF12,3.925,3.938,3.948,3.949,3.949,0.61
