design,variant,rWL,power,WNS,TNS,DRV,runtime
JPEG_NG45,Full TomoGNN,498,317,-119,-70.8,0,0.63
JPEG_NG45,w/o FiLM,497,315,-112,-75.3,0,0.69
JPEG_NG45,w/o dual-graph MP,497,317,-158,-81.0,0,0.71
JPEG_NG45,w/o calibration loss,498,317,-145,-81.9,0,0.58
CA53_NG45,Full TomoGNN,11139,844,-53,-56.2,1057,3.97
CA53_NG45,w/o FiLM,11138,844,-59,-95.5,1392,4.01
CA53_NG45,w/o dual-graph MP,11139,844,-57,-69.5,983,4.0
CA53_NG45,w/o calibration loss,11109,843,-61,-87.3,1129,3.74
JPEG_GF12,Full TomoGNN,0.948,0.98,-0.325,-335,0,1.46
JPEG_GF12,w/o FiLM,0.94,0.988,-0.32,-397,0,1.57
JPEG_GF12,w/o dual-graph MP,0.963,0.996,-0.43,-413,0,1.45
JPEG_GF12,w/o calibration loss,0.929,0.986,-0.485,-488,0,1.49
CA53_GF12,Full TomoGNN,1.0,0.999,-0.183,-162,1,4.88
CA53_GF12,w/o FiLM,0.999,1.0,-0.223,-167,2,6.48
CA53_GF12,w/o dual-graph MP,1.001,1.0,-0.182,-176,1,5.06
CA53_GF12,w/o calibration loss,1.001,1.0,-0.175,-160,2,6.13
